0,1,2,3,4,5,6,7,8
16,personnel,"(집합적)직원, 인원, 인사과",72.0,task,"일, 직무",128.0,go down the steps,계단을 내려가다
17,agree,동의하다,73.0,be satisfied with,~에 만족하다,129.0,key to success,성공의 길
18,supervise,"감독하다, 지도하다",74.0,be seated,"앉다, 앉아 있다",130.0,lose one's temper,화를 내다
19,coworker,"동료, 협력자",75.0,be surrounded by,~에 둘러싸이다,131.0,make a copy,복사하다
20,direct,"~에게 길을 안내하다, 가르쳐주다",76.0,business contacts,사업상 아는 사람 또는 회사,132.0,obsess about,~에 대해 강박 관념을 갖다
21,confidential,"기밀의, 내밀한",77.0,chairperson,의장,133.0,overtime hours,초과 근무 시간
22,assign,"배정하다, 할당하다",78.0,copy editor,원고 정리 편집자,134.0,personal effects,"개인 소지품, 개인 소유물"
23,leading,"지도, 통솔, 선도적인, 일류의, 가장 중요한, 선두적인",79.0,deep end,수심이 깊은 쪽,135.0,reunion,친목회
24,formal,격식을 갖춘,80.0,double-sided,양면의,136.0,sales representative,"영업 담당자, 판매 직원"
25,remove,"해임하다, 제거하다",81.0,drawer,서랍,137.0,seamless(=without trouble),"(끊어짐이 없이) 매끄러운, 문제 없는"
26,collect,"모으다, 수집하다",82.0,get one's approval,~의 승인을 받다,138.0,submit A to B,A를 B에게 제출하다
27,coordinate,조정하다,83.0,halfway,"중간에, 중간의",139.0,succeed in -ing,~에 성공하다
28,hardly,거의~하지 않다,84.0,hand over,~을 건네주다,140.0,time-consuming,시간이 많이 걸리는
29,abstract,"추상적인, 막연한",85.0,in a pile,수북이 쌓인,141.0,bookkeeping,부기
30,directory,주소록,86.0,it could have been worse.,이만하니 다행이다.,142.0,have one's hands full,몹시 바쁘다
31,accountable,책임이 있는,87.0,just in time,겨우 시간에 맞춰,143.0,make on outside call,외부로 전화를 걸다
32,skillfully,"능숙하게, 솜씨있게",88.0,literacy,읽고 쓰는 능력,144.0,motivation,"이유, 동기"
33,exclusive,"독점적인, 배타적인",89.0,litter,"쓰레기, 어지르다, 흐트러뜨리다",145.0,newly listed,새로 목록에 오른
34,intention,"의지, 의향",90.0,make a selection,선정하다,146.0,prioritize,우선적으로 처리하다
35,transform,"바꾸다, 변모시키다",91.0,make room for,~을 위해 공간을 마련하다,147.0,sit in alternate seats,한자리 씩 건너 앉다
36,respectful,"정중한, 존중하는",92.0,out of paper,종이가 다 떨어진,148.0,written authorization,서면 결재
37,duplicate,사본,93.0,raise one's hand,손을 들다,149.0,written consent,서면 동의
38,contrary,반대,94.0,report a problem,문제점을 보고하다,150.0,acquaintance,"아는 사람, 아는 사이"
39,disturbing,"충격적인, 불안감을 주는, 방해하는",95.0,sort,"종류, 분류하다",151.0,dimension,"규모, 크기, 차원, 관점"
40,engage,"관여하다, 종사하다",96.0,stationery,문구류,152.0,directive,"지시하는, 지배적인"
41,foster,"촉진하다, 육성하다",97.0,take another look,다시 한번 보다,153.0,discerning,통찰력이 있는
42,neutrality,"중립성, 중립",98.0,take A out,A를 꺼내다,154.0,elegantly,"우아하게, 고상하게"
43,widely,널리,99.0,typewriter,타자기,155.0,expectant,기대하고 있는
44,externally,"외부에서, 외부적으로",100.0,work in groups,여러 명이 작업하다,156.0,invaluable,"매우 유용한, 귀중한"
45,bookcase,"책장, 책꽂이",101.0,writing pad,(한 장씩 떼어 쓰는 노트),157.0,propel,"나아가게 하다, 몰아가다"
46,bookshelf,책꽂이,102.0,anticipation,"예상, 기대",158.0,realization,"깨달음, 자각, 인식"
47,case,(특정한 상황의)경우,103.0,automobile,자동차,159.0,recline,"기대다, 눕다, (의자가)젖혀지다"
48,central office,중앙 사무실,104.0,be asked to do,~하도록 요청받다,160.0,repository,저장소
